Question,Answer,n_answers
Требования к содержанию мест проведения работ.,"1) Исполнитель работ обязан систематически производить осмотр состояния мест производства работ.


2) Требование к вывозу разобранного асфальтового покрытия (скола), образовавшегося в результате производства работ, в течение рабочего дня. Запрет на временное складирование скола асфальта на газонах и участках с зелеными насаждениями.


3) Запрет на сбрасывание строительных отходов и мусора с этажей зданий и сооружений без применения закрытых лотков (желобов), бункеров-накопителей, закрытых ящиков или контейнеров.


4) Сбор отходов и мусора на месте производства работ должен осуществляться в контейнеры для сбора и временного хранения отходов и мусора и/или на оборудованных, специализированных площадках.


5) Запрет захоронения мусора, отходов строительства и сноса, закапывание их в грунт или сжигание на месте производства работ.


6) Запрет выноса грунта (грязи) колесами автотранспорта за границы места производства работ.


7) Необходимо применять меры против распыления сыпучих и пылевидных материалов в процессе их погрузки и выгрузки.


8) Требование к закрытию загрузочных воронок защитными кожухами.


9) Узлы пересыпки сыпучих материалов должны иметь надежное уплотнение.


10) Должен быть установлен периодический контроль за состоянием уплотнений и средствами, предотвращающими пыление.


11) Ограждения строительных площадок могут быть оснащены сетками, обеспечивающими удержание строительной пыли.


12) Требование к поливу технической водой в летний период для предотвращения пыления открытых участков территорий мест проведения работ.


13) Проведение работ с занятием проезжей части улиц и магистралей, территории остановок общественного транспорта, велосипедных дорожек, с полным перекрытием тротуаров должно быть согласовано в установленном порядке с Департаментом транспорта и развития дорожно-транспортной инфраструктуры города Москвы.


",13
Требования к техническому содержанию объектов дорожного хозяйства улично-дорожной сети города Москвы,"1) Требования по техническому содержанию элементов ОДХ: бордюрного камня (устойчивость покрытия, отсутствие дефектов, своевременная покраска). Покраске подлежат бортовые камни (бордюры) только из цементобетона. Бортовые камни (бордюры) из гранита не окрашиваются.


2) Требования по техническому содержанию искусственных неровностей: отсутствие дефектов (отклонение от нормативного положения; наличие повреждений; отсутствие отдельных элементов, деталей).


3) Требования по техническому содержанию дорожных покрытий проезжей части и тротуаров: -отсутствие открытых выбоин (ям), в том числе на сопряжениях с трамвайными путями, деформационными швами мостовых сооружений, люками смотровых колодцев подземных коммуникаций и дождеприемниками ливнесточных колодцев, - отсутствие дефектов аварийного характера; - отсутствие проломов и деформаций (мелких до 1 кв.м) глубиной более 30 мм, зон с образованием сетки трещин с подвижными ячейками, выкрашиваний на площади более 1 кв.м, не устраненных в суточный срок или не зарегистрированных в журнале; - отсутствие дефектов аварийного характера, не устраненных в течение 24 часов с момента обнаружения или получения предписания от заказчика/учредителя; - отсутствие сорной растительности; - отсутствие в период с 1 сентября по 1 октября открытых трещин шириной более 5 мм (ширина трещины принимается по максимальному зазору между кромками дорожного покрытия на всей ее протяженности). С целью устранения выбоин (ям), проломов, просадок, пучин, сдвигов, волн и гребенок, сетки трещин и выкрашиваний в летний период с 16 апреля по 15 октября производится ремонт дорожных покрытий проезжей части дорог и тротуаров картами размером до 100 кв.м с применением горячих асфальтобетонных смесей.


",3
Требования к готовым смесям для устройства оснований и дополнительных слоев оснований и покрытий,"1) Зерновой состав готовых смесей должен соответствовать требованиям, приведенным в таблице.


2) Марка по пластичности готовых смесей, определяемая на зернах размером менее 0,63 мм, входящих в состав смесей, должна соответствовать требованиям, приведенным в таблице.


3) Содержание в готовых смесях частиц размером менее 0,05 мм (пылевидных и глинистых) должно соответствовать требованиям, приведенным в таблице 3.


4) Для морозозащитных слоев оснований должны применяться непучинистые и слабопучинистые смеси.


5) Водостойкость щебня и гравия, входящих в состав смесей, должна соответствовать требованиям.


6) Щебень и гравий, входящие в состав смесей, должны соответствовать требованиям ГОСТ 8267.


7) Обеспеченность установленных настоящим стандартом требований к щебню и готовым смесям по зерновому составу (содержанию зерен размером менее наименьшего номинального размера и более наибольшего номинального размера) и содержанию пылевидных и глинистых частиц должно быть не менее 95%.


",7
Организация и проведение благоустройства в городе Москве.,"1) Собственники (правообладатели) земельных участков должны осуществлять содержание и облагораживание территории города Москвы в границах земельных участков, принадлежащих им на праве собственности или ином вещном праве.


2) Содержание и ремонт внешних поверхностей зданий, строений, сооружений, а также размещаемых на них конструкций и оборудования (за исключением рекламных и информационных конструкций) осуществляются собственниками (правообладателями) указанных зданий, строений, сооружений (помещений в них).


3) Особенности проведения собственниками - коммерческими организациями ремонтных работ нежилых зданий при нарушении установленных правил проведения ремонта внешних поверхностей таких зданий по выданному предписанию уполномоченного органа исполнительной власти.


4) Особенности проведения работ по очистке крыши нежилого здания, строения, сооружения, многоквартирного дома от снега собственниками таких зданий (в том числе особых объектов нежилого фонда города Москвы) за счет средств бюджета города Москвы.


5) Требование к нанесению надписей, изображений на внешние поверхности нежилых зданий, строений, сооружений, многоквартирных домов.


",5
Организация работ по вывозу ТКО и санитарному содержанию мест сбора отходов,"1) Уборку мусора, просыпавшегося при выгрузке из контейнеров в мусоровоз или загрузке бункера, производят работники организации, осуществляющей вывоз ТБО, КГМ.


2) Вывоз ТБО и КГМ осуществляется специализированными организациями в соответствии с графиком вывоза ТКО.


3) Переполнение контейнеров, бункеров-накопителей мусором не допускается.


4) Складирование отходов производства промышленных предприятий осуществляется только на специально оборудованных и согласованных местах.


",4
Требования к рекламным конструкциям.,"1) Типы и размеры рекламных конструкций должны соответствовать установленным Правилам на территории города Москвы.


2) Рекламные конструкции должны иметь маркировку.


3) Доведение до потребителя рекламных сообщений/изображений на всех типах рекламных конструкций может производиться с использованием определенных технологий смены изображений.


4) При использовании на рекламной конструкции технологии смены изображения в виде роллерной системы рекламная конструкция должна оборудоваться внутренним подсветом.


5) Не допускается установка и эксплуатация рекламных конструкций без размещения на них рекламного или информационного сообщения/изображения.


6) Не допускается установка рекламных конструкций на знаке дорожного движения, его опоре.


7) Эксплуатация рекламных конструкций на территориях общего пользования должна обеспечивать свободный проход пешеходов, возможность уборки улиц и тротуаров.


8) Запрещается размещение рекламных конструкций на наружных (уличных) поверхностях входов (выходов) подземных пешеходных переходов.


9) Запрещается размещение любых рекламных конструкций на кабинах таксофонов.


10) Конструктивные элементы жесткости и крепления рекламных конструкций должны быть закрыты декоративными элементами.


11) Требования к внешнему виду рекламных конструкций.


12) Собственник рекламной конструкции обязан мыть и очищать от загрязнения принадлежащие ему рекламные конструкции.


13) Устранение повреждений рекламных изображений на рекламных конструкциях осуществляется их владельцами.


14) Приведение рекламных конструкций в надлежащий вид осуществляется владельцами конструкций по мере необходимости.


15) Внешний вид и дизайн всех типов рекламных конструкций должны соответствовать типовому сборнику рекламных конструкций города Москвы.


",15
Требования к местам накопления отходов,"1) Создание и переустройство мест накопления отходов должно быть согласовано с префектурой административного округа города Москвы.


2) Маркировка мест накопления отходов производится лицами, ответственными за содержание территорий, зданий, строений, сооружений в соответствии с требованиями.


3) Места накопления отходов должны вмещать в себя необходимое количество емкостей. Установка емкостей вне границ таких мест, не допускается, кроме некоторых случаев.


4) Установка специальных емкостей для накопления отходов электротехнического и электронного оборудования проводится по согласованию с ответственным за содержание мест накопления отходов при условии заключения соответствующего договора.


5) Установка емкостей для накопления отходов допускается вне территории мест накопления отходов.


6) Характеристика места накопления отходов.


7) Освещение мест накопления отходов.


8) Лица, ответственные за содержание мест накопления отходов должны поддерживать их в надлежащем санитарном состоянии.


9) Обязанность ответственного лица по содержанию территории мест накопления отходов.


10) Обязанность по обеспечению размещения контактной информаций ответственным лицом.


",10
Заключение договоров,"1) Распределение ответственности за сбор мусора возлагается по принадлежности.


2) Юридические лица, иные хозяйствующие субъекты и физические лица обязаны заключать договоры на вывоз мусора.


3) Особенности оказания услуг по обращению с твердыми коммунальными отходами (ТКО).


4) ТКО при накоплении требует разделения на категории.


5) Накопление групп однородных отходов осуществляется.


6) Группы однородных отходов согласно Перечню подлежат раздельному накоплению в специальных емкостях.


7) Особенности регулирования накопления отходов электротехнического и электронного оборудования.


8) Места накопления отходов (МНО) должны быть закреплены в договоре об оказании услуг по согласованию с Префектурой административного округа.


9) Запрещено прессовать и уплотнять ТКО в емкостях, кроме специальных, оборудованные устройством компактирования ТКО.


10) Накопление ТКО осуществляется в соответствии с Договором на оказание услуг и Регламентом взаимодействия.


11) Отходы от проведения работ (спил, порубочные остатки, строительный мусор) должны накапливаться в отдельных емкостях.


12) Накопление крупногабаритного мусора осуществляется в бункерах, устанавливаемых по заявке. Особенности оформления таких заявок подлежат включению в Договор.


13) Размещение бункеров для накопления крупногабаритного мусора. Запрещается устанавливать бункеры вне мест накопления отходов.


14) Не допускается переполнение бункера отходами. Отходы не должны находиться в состоянии, угрожающем жизни и здоровью лиц, осуществляющих погрузку (разгрузку) бункера.


15) Уборку отходов, просыпавшихся из контейнера, осуществляет лицо, проводящее сбор и погрузку отходов.


16) На территории города Москвы запрещено накопление отходов вне специальных емкостей и вне специальных мест, указанных в Договоре.


17) На территории города Москвы запрещено накопление отходов вне специальных емкостей.


18) На территории города Москвы запрещено накопление отходов вне специальных мест, указанных в Договоре.


",18
Сопряжения поверхностей.,"1) На стыке тротуара и проезжей части следует устанавливать дорожные бортовые камни.


2) При сопряжении покрытия пешеходных коммуникаций с газоном следует устанавливать садовый борт. На территории пешеходных зон возможно использование естественных материалов для оформления примыкания различных типов покрытия.


3) При уклонах пешеходных коммуникаций более 60 следует предусматривать устройство лестниц.


4) Край первых ступеней лестниц при спуске и подъеме рекомендуется выделять полосами яркой контрастной окраски. Все ступени наружных лестниц в пределах одного марша должны быть одинаковыми по ширине и высоте подъема ступеней.


5) Пандус должен выполняться из нескользкого материала с шероховатой текстурой поверхности без горизонтальных канавок.


6) При повороте пандуса или его протяженности более 9 м следует предусматривать горизонтальные площадки размером 1,5х1,5 м.


7) По обеим сторонам лестницы или пандуса следует предусматривать поручни. Поручни должны соответствовать техническим требованиям к опорным стационарным устройствам по ГОСТ Р 51261-2017.


8) В зонах сопряжения земляных откосов с лестницами, пандусами, подпорными стенками необходимо выполнять противоэрозионные мероприятия.


",8
Требования к асфальтобетонным дорожным смесям и асфальтобетону щебеночно-мастичному,"1) Щебень из горных пород (в том числе щебень из гравия и валунов) или щебень из шлаков (далее - щебень), входящие в состав щебеночно-мастичных смесей, должны соответствовать требованиям ГОСТ 32703 или ГОСТ 32826 соответственно.


2) Дробленый песок из горных пород (далее - песок), входящий в состав смесей, должен соответствовать требованиям ГОСТ 32730.


3) Песок по потере массы после пяти циклов под воздействием сульфата натрия или сульфата магния должен соответствовать значениям.


4) Минеральный порошок, входящий в состав смесей, должен соответствовать требованиям ГОСТ 32761 для марок МП-1 или МП-2.


5) Минеральный порошок должен соответствовать значению по показателю ""*количество пустот Ригдена, указанному в таблице 1. Количество пустот Ригдена в минеральном порошке определяют по ГОСТ 58402.7. При соответствующем технико-экономическом обосновании допускается частично взамен минерального порошка применять минеральный материал из системы пылеулавливания, но не более 50% массы минерального порошка. Таблица 1 - Требования к минеральным заполнителям для щебеночно-мастичного асфальтобетона.


6) Битумное вяжущее должно соответствовать требованиям ГОСТ Р 58400.1 или ГОСТ Р 58400.2.


7) Минимальное количество вяжущего в смеси в зависимости от объемной плотности крупного заполнителя должно соответствовать значению.


8) В зависимости от номинально максимального размера асфальтобетонные смеси по зерновому составу должны соответствовать требованиям.


9) Щебеночно-мастичный асфальтобетон по содержанию воздушных пустот, ПМЗ должен соответствовать значениям.


10) Устойчивость к расслаиванию запроектированной щебеночно-мастичной смеси по показателю ""стекание вяжущего"" должна быть не более 0,3% по массе.


11) Коэффициент водостойкости TSR запроектированной щебеночно-мастичной смеси при количестве воздушных пустот, равном (6 1)%, должен быть не менее 0,80.


",11
Технические требования к щебню и гравию из плотных горных пород для строительных работ,"1) Требования к параметрам и размерам: количественные показатели основных фракций щебня и гравия в мм. По согласованию изготовителя с потребителем выпускают щебень и гравий в виде других смесей, составленных из отдельных фракций.


2) Количественные показатели полных остатков фракций на контрольных ситах при рассеве щебня и гравия должны соответствовать указанным в таблице 1 ГОСТ 8267-93.


3) Щебень из гравия и валунов должен содержать дробленые зерна в количестве не менее 80% по массе. Допускается по согласованию изготовителя с потребителем выпуск щебня из гравия с содержанием дробленых зерен не менее 60%.


4) Гравий не должен содержать зерен пластинчатой и игловатой формы более 35% по массе.


5) Марки по дробимости щебня из осадочных и метаморфических пород должны соответствовать требованиям, указанным в таблице 3 ГОСТ 8267-93, а марки по дробимости щебня из изверженных пород - в таблице 4 ГОСТ 8267-93. Допускается определять марку щебня из осадочных и метаморфических пород как в сухом, так и в насыщенном водой состоянии. При несовпадении марок по дробимости прочность оценивают по результатам испытания в насыщенном водой состоянии. Марки по дробимости щебня из гравия и гравия должны соответствовать требованиям, указанным в таблице 5 ГОСТ 8267-93.


6) Марки по истираемости щебня и гравия должны соответствовать требованиям, указанным в таблице 6 ГОСТ 8267-93.


7) Содержание зерен слабых пород в щебне и гравии в зависимости от вида горной породы и марки по дробимости не должно быть более указанного в таблице 7 ГОСТ 8267-93 процентного показателя.


8) Морозостойкость щебня и гравия характеризуют числом циклов замораживания и оттаивания, при котором потери в процентах по массе щебня и гравия не превышают установленных значений. Допускается оценивать морозостойкость щебня и гравия по числу циклов насыщения в растворе сернокислого натрия и высушивания. При несовпадении марок морозостойкость оценивают по результатам испытания замораживанием и оттаиванием.


9) Содержание пылевидных и глинистых частиц (размером менее 0,05 мм) в щебне и гравии в зависимости от вида горной породы и марки по дробимости должно соответствовать указанному в таблице 9 ГОСТ 8267-93.


10) Содержание глины в комках не должно быть более указанного в таблице процентного показателя в зависимости от марки по дробимости щебня и гравия.


",10
Технические требования к асфальтобетонным смесям и асфальтобетону,"1) Показатели физико-механических свойств высокоплотных и плотных асфальтобетонов из горячих смесей различных марок, применяемых в конкретных дорожно-климатических зонах, должны соответствовать указанным в ГОСТ 9128-2013 таблице.


2) Водонасыщение высокоплотных и плотных асфальтобетонов из горячих смесей должно соответствовать указанному в ГОСТ 9128-2013 таблице.


3) Температура горячих и холодных смесей при отгрузке потребителю и на склад в зависимости от показателей битумов должна соответствовать указанным в ГОСТ 9128-2013 таблице.


4) Полимерасфальтобетонные смеси и полимерасфальтобетон: Зерновые составы минеральной части полимерасфальтобетонных смесей в зависимости от марки ПБВ должны соответствовать требованиям, приведенным в ГОСТ 9128-2013 таблицах.


5) Показатели физико-механических свойств высокоплотных и плотных полимерасфальтобетонов из смесей различных марок должны соответствовать требованиям, указанным в таблице ""Требования к показателям физико-механических свойств высокоплотных и плотных полимерасфальтобетонов"". Показатели водонасыщения полимерасфальтобетонов должны соответствовать требованиям, указанным в таблице ""Требования к показателям водонасыщения полимерасфальтобетонов"". При устройстве покрытий на мостах показатели водонасыщения должны быть минимально возможными при соблюдении всех остальных требований к полимерасфальтобетону.


",5
Размещение и содержание информационных конструкций.,"1) Размещение информационных конструкций должно соответствовать требованиям, установленным Правительством Москвы.


2) В случае размещения информационной конструкции, не соответствующей установленным требованиям, она подлежит демонтажу за счет средств ее владельца.


3) Информационная конструкция должна быть демонтирована и перемещена на специально отведенные места за счет средств бюджета города Москвы, если отсутствуют сведения о владельце конструкции.


4) Владельцы вывесок должны осуществлять их содержание.


5) Лица, которые размещают сезонные (летние) кафе , осуществляют их содержание.


",5
Контроль и техническое обслуживание оборудования. Требования безопасности при эксплуатации,"1) Оборудование детских спортивных площадок (элементы оборудования) осматривают и обслуживают в соответствии с инструкцией изготовителя/продавца с периодичностью, установленной изготовителем/продавцом.


2) Требование к эксплуатанту (владельцу) оборудования осуществлять контроль за техническим состоянием, контроль соответствия требованиям безопасности, техническое обслуживание и ремонт.


3) Требование к эксплуатанту (владельцу) вести журнал и регистрировать результаты контроля за техническим состоянием оборудования.


4) Требования к контролю технического состояния оборудования включают осмотр и проверка оборудования перед вводом в эксплуатацию и другие осмотры.


5) Требование к немедленному устранению дефектов, влияющих на безопасность оборудования.


6) Требование после удаления оборудования убрать оставшийся в земле фундамент.


7) Эксплуатант (владелец) детской игровой площадки должен не менее одного раза в 12 месяцев оценивать эффективность мероприятий по обеспечению безопасности и на основе опыта или при изменении условий эксплуатации корректировать.


8) Вся эксплуатационная документация на оборудование подлежит постоянному хранению. Должен быть обеспечен постоянный доступ персонала к документации во время осмотров, обслуживания и ремонта оборудования.


9) Эксплуатант разрабатывает и устанавливает информационные таблички или доски на детской игровой площадке, содержащие правила и возрастные требования при пользовании оборудованием, номера телефонов.


10) Неисправности оборудования, обнаруженные в процессе эксплуатации, снижающие безопасность, немедленно устраняют.


11) Регулярное обслуживание включает мероприятия по поддержанию безопасности и качества функционирования оборудования и и покрытий детской спортивной площадки.


12) Для обеспечения безопасности оборудования детских спортивных площадок внесение изменений в конструкцию оборудования или его элементов допускается только после консультаций и письменного согласования с изготовителем оборудования.


",12
Смеси щебеночно-мастичные асфальтобетонные и асфальтобетон,"1) Щебеночно-мастичные асфальтобетонные смеси должны соответствовать требованиям настоящего стандарта и изготавливаться по технологическому регламенту.


2) Требования к зерновым составам щебеночно-мастичных асфальтобетонных смесей.


3) Требования к физическим и эксплуатационным показателям щебеночно-мастичных асфальтобетонных смесей и асфальтобетонов. Показатель стекания вяжущего щебеночно-мастичной асфальтобетонной смеси должен быть не более 0,20% по массе. Испытание проводят в соответствии с приложением А. Таблица 2 - Требования к физическим и эксплуатационным показателям щебеночно-мастичных асфальтобетонных смесей и асфальтобетонов.


4) Щебень из горных пород и щебень из гравия и валунов, а также щебень из шлаков, входящие в состав щебеночно-мастичных асфальтобетонных смесей, должны соответствовать требованиям ГОСТ 32703 и ГОСТ 32826.


5) Дробленый песок, входящий в состав щебеночно-мастичных асфальтобетонных смесей, должен соответствовать требованиям ГОСТ 32730.


6) Минеральный порошок, входящий в состав щебеночно-мастичных асфальтобетонных смесей, должен соответствовать требованиям ГОСТ 32761.


7) Стабилизирующие добавки и модификаторы щебеночно-мастичного асфальтобетона и битумных вяжущих.


",7
Технические требования к материалам строительным нерудным из отсевов дробления плотных горных пород при производстве щебня.,"1) Требование к материалу из отсевов дробления в виде песка - обогащенный песок по зерновому составу должен соответствовать требованиям к группам очень крупного, повышенной крупности, крупного и среднего песка класса I, приведенным в таблице 1 ГОСТ 31424-2010.


2) Характеристики песка из отсевов дробления - содержание пылевидных и глинистых частиц в песке не должно превышать утвержденную процентную норму.


3) Характеристики песка из отсевов дробления: Содержание глинистых частиц, определяемых методом набухания, в песке, применяемом в дорожном строительстве, должно соответствовать требованиям ГОСТ 9128-2009 ""МЕЖГОСУДАРСТВЕННЫЙ СТАНДАРТ. СМЕСИ АСФАЛЬТОБЕТОННЫЕ ДОРОЖНЫЕ, АЭРОДРОМНЫЕ И АСФАЛЬТОБЕТОН. Технические условия"" , коэффициент фильтрации - ГОСТ 25607-2009 ""МЕЖГОСУДАРСТВЕННЫЙ СТАНДАРТ. СМЕСИ ЩЕБЕНОЧНО-ГРАВИЙНО-ПЕСЧАНЫЕ ДЛЯ ПОКРЫТИЙ И ОСНОВАНИЙ АВТОМОБИЛЬНЫХ ДОРОГ И АЭРОДРОМОВ. Технические условия"".


",3
Требования к безопасности горок на детских площадках,"1) Требование к доступу к стартовому участку горки с помощью лестниц, стремянок, наклонных трапов и т.п.


2) Стартовый участок горки оборудуют так, чтобы задать начальное направление скольжения ребенка.


3) Стартовый участок горки должен быть длиной не менее 350 мм, с наклоном от 0° до 5° в направлении участка скольжения.


4) Бортики стартового участка горки должны быть сплошными по всей длине и являться продолжением бортиков участка скольжения.


5) Требование к оборудованию защитной перекладиной всех пристраиваемых горок с высотой свободного падения более 1000 мм.


6) Стартовый участок горки оборудуют защитной секцией, соответствующей требованиям к барьерам по ГОСТ Р 52169 по определенным условиям.


7) Конструкция горки должна исключать непроизвольное торможение и остановку ребенка на участке скольжения.


8) Торможение и остановка ребенка допускаются только на конечном участке горки.


9) Средний угол наклона участка скольжения горки не должен превышать 40°. Максимальный угол наклона отдельного элемента участка скольжения горки не должен превышать 60°.


10) Требования к ширине участка скольжения горки: плоской или открытой прямой горки с участком скольжения длиной более 1500 мм должна быть: - менее 700 мм; - более 950 мм. Спиральная и изогнутая горки должны иметь ширину участка скольжения менее 700 мм. Тоннельный участок горки (закрытая секция) должен начинаться от конца стартового участка, быть непрерывным по всей длине и заканчиваться перед конечным участком горки.


11) Все горки оборудуют конечным участком либо 1-го типа, где конечный участок короткий с длинной зоной приземления, или 2-го типа, где конечный участок длинный с короткой зоной приземления.


",11
